Regiones,Fecha,Year,Num_mes,Latitud,Longitud,Altura,Variedad,Fenologia,Hojas Evaluadas,Hojas con Roya,Incidencia,Cat_Variedad
MATAGALPA,3/20/2019,2021,3,13.170477,-85.72478,905,MEZCLA,Floracion Loca,497,4,0.8,Susceptibles
JINOTEGA,3/20/2019,2021,3,13.28612137,-85.71662903,1050,MEZCLA,Hojas Nuevas Mayor al 30%,1354,38,2.81,Susceptibles
MATAGALPA,3/20/2019,2021,3,13.208544,-85.653004,749,MEZCLA,Floracion Loca,479,5,1.04,Susceptibles
NUEVA SEGOVIA,3/24/2019,2021,3,13.74030018,-86.51339722,1018,MEZCLA,Hojas Nuevas Mayor al 30%,649,11,1.69,Susceptibles
MATAGALPA,3/29/2019,2021,3,13.25399971,-85.60320282,836,MEZCLA,Hojas Nuevas Mayor al 30%,662,11,1.66,Susceptibles
BOACO,3/27/2019,2021,3,12.58320045,-85.68090057,803,MEZCLA,Hojas Nuevas Mayor al 30%,554,0,0,Susceptibles
MATAGALPA,03/11/2019,2021,3,13.198993,-85.650488,739,MEZCLA,Floracion Loca,786,26,3.31,Susceptibles
JINOTEGA,03/11/2019,2021,3,13.38255692,-86.01522827,723,MEZCLA,Floraci½n,733,63,8.59,Susceptibles
MATAGALPA,03/08/2019,2021,3,13.2491349,-85.7398657,769,MEZCLA,Floraci½n,495,32,6.46,Susceptibles
MADRIZ,3/27/2019,2021,3,13.52499962,-86.18000031,1071,MEZCLA,Floracion Loca,891,33,3.7,Susceptibles
ESTELI,3/28/2019,2021,3,13.3210001,-86.48539734,958,MEZCLA,Hojas Nuevas Mayor al 30%,296,35,11.82,Susceptibles
MADRIZ,3/27/2019,2021,3,13.56680012,-86.17150116,749,MEZCLA,Floracion Loca,798,33,4.14,Susceptibles
RACN,03/07/2019,2021,3,13.32407761,-85.3443985,705,MEZCLA,Floracion Loca,834,12,1.44,Susceptibles
MATAGALPA,03/07/2019,2021,3,13.24129105,-85.53408051,644,MEZCLA,Floraci½n,812,0,0,Susceptibles
BOACO,3/27/2019,2021,3,12.6576004,-85.6996994,644,MEZCLA,Hojas Nuevas Mayor al 30%,594,5,0.84,Susceptibles
JINOTEGA,3/18/2019,2021,3,13.28594494,-85.77629089,676,MEZCLA,Hojas Nuevas Mayor al 30%,702,3,0.43,Susceptibles
