Regiones,Fecha,Year,Num_mes,Latitud,Longitud,Altura,Variedad,Fenologia,Hojas Evaluadas,Hojas con Roya,Incidencia,Cat_Variedad
MATAGALPA,10/05/2019,2019,10,12.98130035,-85.80039978,769,CATURRA,Madurez Fisiol¢gica,586,22,3.75,Susceptibles
MATAGALPA,08/06/2019,2019,8,13.2052002,-85.63289642,776,CATURRA,Fruto Consistente,423,0,0,Susceptibles
ESTELI,9/26/2019,2019,9,13.27589989,-86.49649811,1422,CATURRA,Fruto Consistente,614,14,2.28,Susceptibles
ESTELI,3/28/2019,2019,3,13.27589989,-86.49649811,1422,CATURRA,Hojas Nuevas Mayor al 30%,348,14,4.02,Susceptibles
MATAGALPA,04/09/2019,2019,4,12.71990013,-85.68730164,758,CATURRA,Floraci¢n Principal,454,2,0.44,Susceptibles
ESTELI,05/07/2019,2019,5,13.27589989,-86.49649811,1422,CATURRA,Hojas Nuevas Mayor al 30%,451,1,0.22,Susceptibles
ESTELI,06/07/2019,2019,6,13.27589989,-86.49649811,1422,CATURRA,Hojas Nuevas Mayor al 30%,525,5,0.95,Susceptibles
ESTELI,12/16/2019,2019,12,13.27589989,-86.49649811,1422,CATURRA,Madurez Fisiol¢gica,773,122,15.78,Susceptibles
ESTELI,2/20/2019,2019,2,13.27589989,-86.49649811,1422,CATURRA,Hojas Nuevas Mayor al 30%,381,28,7.35,Susceptibles
ESTELI,8/30/2019,2019,8,13.27589989,-86.49649811,1422,CATURRA,Fruto Consistente,750,0,0,Susceptibles
MATAGALPA,04/09/2019,2019,4,12.69439983,-85.73239899,784,CATURRA,Floraci¢n Principal,489,0,0,Susceptibles
JINOTEGA,9/20/2019,2019,9,13.25699997,-86.03489685,1157,CATURRA,Fruto Consistente,1394,9,0.65,Susceptibles
JINOTEGA,08/01/2019,2019,8,13.25699997,-86.03489685,1157,CATURRA,Fruto Consistente,2644,186,7.03,Susceptibles
JINOTEGA,1/15/2019,2019,1,13.25699997,-86.03489685,1157,CATURRA,Madurez Fisiol¢gica,1154,29,2.51,Susceptibles
NUEVA SEGOVIA,9/27/2019,2019,9,13.92720032,-86.15370178,1217,CATURRA,Fruto Consistente,1339,107,7.99,Susceptibles
MATAGALPA,06/12/2019,2019,6,12.8632412,-85.90609741,1131,CATURRA,Fruto Consistente,806,35,4.34,Susceptibles
