Date;Precipitacion;TemperaturaMedia;RH;RAD;Pressure;WindSpeed;CO2;DegreeDays;PAR;FDiff;VPD;TemperaturaMAX;TemperaturaMIN
01/01/2004;0;18.724;81.089;16.383;899.947;0.661;376.812;8.724;7.864;0.325;5.213;25.42;13.44
02/01/2004;0.05;18.85;87.166;21.418;900.295;0.95;376.812;8.85;10.281;0.24;3.547;25.66;14.79
03/01/2004;0.05;18.814;87.737;18.069;899.72;0.768;376.812;8.814;8.673;0.292;3.258;25.44;14.64
04/01/2004;0;18.964;86.081;20.457;898.989;0.807;376.812;8.964;9.82;0.257;3.757;24.98;14.77
05/01/2004;0;18.449;91.581;19.193;897.764;0.796;376.812;8.449;9.212;0.279;1.901;22.71;15.44
06/01/2004;0.05;19.578;85.689;20.632;897.624;0.9;376.812;9.578;9.903;0.253;3.937;25.24;15.38
07/01/2004;9.38;19.249;84.546;17.036;899.378;0.829;376.812;9.249;8.177;0.308;4.019;25.46;15.1
08/01/2004;2.47;17.724;89.698;15.37;901.157;0.702;376.812;7.724;7.378;0.34;2.323;22.69;14.53
09/01/2004;17.41;17.288;94.319;8.276;902.159;0.759;376.812;7.288;3.973;0.426;1.214;21.47;14.14
10/01/2004;5.92;16.562;99.3;13.23;901.921;1.44;376.812;6.562;6.35;0.374;0.132;17.24;15.88
11/01/2004;0.6;17.136;99.448;17.624;900.861;1.075;376.812;7.136;8.459;0.308;0.107;18.66;16.42
12/01/2004;0.45;18.812;86.951;22.268;899.755;1.003;376.812;8.812;10.689;0.231;3.524;25.99;14.99
13/01/2004;0;18.675;83.764;11.946;899.847;0.812;376.812;8.675;5.734;0.39;4.339;25.09;13.72
14/01/2004;0;18.491;83.493;17.302;899.166;1.106;376.812;8.491;8.305;0.292;4.179;25.16;12.71
15/01/2004;0;18.242;80.476;22.235;898.905;1.056;376.812;8.242;10.673;0.221;5.262;25.91;11.76
16/01/2004;0;18.259;85.026;22.437;898.731;0.971;376.812;8.259;10.77;0.224;3.9;24.85;13
17/01/2004;0;19.002;80.057;22.399;898.549;1.06;376.812;9.002;10.751;0.232;5.398;26.7;13.44
18/01/2004;0.05;18.666;84.728;18.554;899.283;0.813;376.812;8.666;8.906;0.291;4.141;25.97;14.01
19/01/2004;0;18.405;84.362;14.455;898.948;0.712;376.812;8.405;6.938;0.359;4.019;24.8;13.46
20/01/2004;2.95;18.011;94.116;13.863;898.502;0.677;376.812;8.011;6.654;0.392;1.333;23.56;15.44
21/01/2004;3.99;18.995;86.766;12.315;898.982;0.622;376.812;8.995;5.911;0.38;3.151;23.12;16.85
22/01/2004;0.46;18.677;81.605;22.294;899.655;0.997;376.812;8.677;10.701;0.227;4.878;26.04;12.89
23/01/2004;12.96;18.967;77.324;9.598;900.277;0.725;376.812;8.967;4.607;0.453;6.139;25.77;13.79
24/01/2004;1.47;16.937;80.353;8.573;900.03;0.59;376.812;6.937;4.115;0.45;4.285;22.27;11.72
25/01/2004;0.46;19.406;74.995;8.268;899.984;0.825;376.812;9.406;3.969;0.464;6.509;25.53;14.14
26/01/2004;1.05;19.846;84.085;14.773;897.067;0.628;376.812;9.846;7.091;0.369;4.42;25.62;14.66
27/01/2004;0.12;19.334;86.06;17.453;896.855;0.616;376.812;9.334;8.377;0.31;3.625;24.78;15.27
28/01/2004;0;18.479;85.791;14.349;897.435;0.775;376.812;8.479;6.887;0.349;3.618;24.34;13.77
29/01/2004;0.12;18.275;89.564;22.586;897.646;0.734;376.812;8.275;10.841;0.242;2.527;23.53;14.2
30/01/2004;0.06;18.738;86.922;16.034;898.349;0.495;376.812;8.738;7.696;0.351;3.357;24.85;13.59
31/01/2004;0;18.159;84.67;22.906;898.352;0.748;376.812;8.159;10.995;0.225;3.792;24.56;12.8
01/02/2004;0.8;16.53;84.646;9.512;898.206;0.316;376.812;6.53;4.566;0.444;3.151;20.73;12.85
02/02/2004;3.16;18.66;74.933;8.02;898.431;0.192;376.812;8.66;3.85;0.467;6.243;25.05;13.18
03/02/2004;0.06;19.282;87.494;13.47;898.1;0.507;376.812;9.283;6.466;0.38;3.285;25.87;15.12
04/02/2004;0;19.287;87.691;22.084;897.979;0.697;376.812;9.287;10.601;0.252;3.123;24.41;15.25
05/02/2004;1.79;19.714;87.178;11.281;897.347;0.52;376.812;9.714;5.415;0.419;3.238;24.02;15.46
06/02/2004;0.12;20.415;87.651;19.025;895.831;0.528;376.812;10.415;9.132;0.298;3.343;25.71;17.56
07/02/2004;4.7;20.159;87.51;9.662;897.796;0.469;376.812;10.159;4.638;0.437;3.379;25.62;16.5
08/02/2004;1.71;18.49;91.414;6.926;898.171;0.247;376.812;8.49;3.325;0.467;2.012;23.01;16.55
09/02/2004;1.16;20.546;86.735;20.59;897.783;0.674;376.812;10.546;9.883;0.279;3.713;26.75;16.26
10/02/2004;3.83;20.707;87.357;18.322;898.383;0.727;376.812;10.707;8.795;0.31;3.485;25.97;17.21
