Date;Incidencia
01/01/2018;61.32
01/02/2018;48.53
01/03/2018;36.21
01/04/2018;4.51
01/05/2018;1.52
01/06/2018;5.12
01/07/2018;5.56
01/08/2018;12.84
01/09/2018;12.86
01/10/2018;32.55
01/11/2018;40.51
01/12/2018;71.12
01/01/2019;36.2
01/02/2019;16.23
01/03/2019;5.15
01/04/2019;0.83
01/05/2019;8.57
01/06/2019;6.32
01/07/2019;25.86
01/08/2019;36.51
