Date;Tair;RAD;Tmax;Tmin;RH;Rain
13/03/2013;18.161;9.844;23.2081;16.95227647;90.58768505;8.166664841
14/03/2013;18.671;18.831;24.05854706;17.24038824;86.17106029;3.241178629
15/03/2013;18.89;13.353;23.94181765;17.75665294;85.46178872;3.541177453
16/03/2013;17.047;4.996;24.39919412;17.699;83.51637427;2.747058941
17/03/2013;17.97;13.62;24.33421176;16.72651765;81.30353113;2.237255347
18/03/2013;18.613;18.499;23.92232353;14.42928824;80.37517378;3.066667324
19/03/2013;18.737;17.871;22.49252353;16.93001765;88.85128554;15.63529333
20/03/2013;18.558;17.603;20.74610588;17.11757647;91.54643064;18.43137354
21/03/2013;18.39;18.307;21.80741765;17.05905294;87.36615784;14.03529263
22/03/2013;18.921;20.056;23.47367059;17.31357059;85.78797304;14.12940962
23/03/2013;19.274;19.429;22.53798824;16.72760588;89.32120515;28.69608428
24/03/2013;19.015;15.092;22.28134706;16.87803529;89.68658137;18.76862875
25/03/2013;19.263;18.465;22.77692353;17.37797059;89.05116152;33.71764924
26/03/2013;18.992;20.218;23.87587647;16.49727059;86.89274436;14.50980431
27/03/2013;19.278;20.313;24.53902941;16.84633529;85.89945515;23.93137133
28/03/2013;19.952;21.364;23.39788824;16.72554118;88.02496152;24.76078057
29/03/2013;18.541;14.765;22.89725294;16.92667059;88.74313431;31.96862727
30/03/2013;18.675;10.664;21.50200588;17.21288235;91.2122201;16.75882186
31/03/2013;17.782;6.016;23.8709;16.70673529;86.43650147;6.523529006
01/04/2013;19.074;19.954;25.16594706;17.80301176;83.75774387;7.796077276
02/04/2013;19.33;21.156;25.63879412;18.38617647;82.03840613;6.243135382
03/04/2013;18.968;17.145;23.14634706;17.65161765;89.4002299;7.805881994
04/04/2013;19.808;18.516;24.29667647;17.27889412;88.44974583;3.911764771
05/04/2013;19.462;17.759;24.31678235;18.14345882;88.55214118;3.145098306
06/04/2013;18.515;19.887;24.65359412;18.03317059;87.34115588;2.747059259
07/04/2013;17.925;14.865;24.80605882;18.00896471;85.73222083;3.670588212
08/04/2013;18.117;10.988;24.41593529;17.59341176;85.74814853;7.774509347
09/04/2013;18.939;15.046;23.25962941;17.39554706;86.45681201;11.93333319
10/04/2013;19.011;11.644;22.80667647;17.58852353;87.81947917;13.23725146
11/04/2013;18.034;5.177;23.35323529;16.67708235;84.40522475;9.052941029
12/04/2013;19.491;12.196;23.52415882;16.64992941;84.27688554;12.21568635
13/04/2013;19.324;6.471;23.78274706;16.84821176;82.04953407;13.65294094
14/04/2013;19.226;8.7;24.22607647;16.52267059;83.37822377;11.22352786
15/04/2013;19.114;7.568;24.60887647;16.71265294;81.48759069;16.24705366
16/04/2013;18.923;10.382;22.48990588;17.20740588;89.29724583;14.40588541
17/04/2013;18.962;9.711;23.02951765;18.11295294;91.18337549;17.6529444
18/04/2013;19.018;9.073;22.09297059;18.5512;93.40433333;31.80784279
19/04/2013;19.391;12.5;22.25970588;17.67621765;90.86958431;46.28430702
20/04/2013;19.949;15.801;21.77582941;16.91460588;84.85331152;13.38039307
21/04/2013;20.056;17.038;20.57372941;16.62737059;89.05703578;7.968627082
22/04/2013;20.342;19.589;22.31671176;17.50539412;91.73018921;23.44313622
23/04/2013;19.057;13.966;21.44451765;18.35409412;94.36245245;27.77450656
24/04/2013;19.448;19.859;22.83706471;19.17136471;93.63028897;22.07843165
25/04/2013;18.591;10.343;23.98647059;19.54268235;91.72260637;14.23137278
26/04/2013;20.097;18.625;25.27837647;19.36494706;87.80546961;18.70588053
27/04/2013;21.435;18.926;23.84242941;19.21757647;89.07419044;11.09215485
28/04/2013;22.145;18.426;22.85881765;18.52969412;92.28677696;23.43529788
29/04/2013;22.058;20.332;22.20787647;18.10380588;92.29430686;24.05097864
30/04/2013;20.861;15.916;20.58201765;17.03450588;91.82197892;32.70392268
01/05/2013;20.242;10.875;22.45587059;16.40631176;89.45493603;10.01960462
02/05/2013;19.608;9.852;23.20479412;17.50822353;91.2957;17.70392371
03/05/2013;19.031;10.776;24.00342941;18.35272941;89.60251985;22.84118079
04/05/2013;19.307;16.753;24.33619412;18.13399412;86.94966716;9.409805641
05/05/2013;19.8;16.844;24.83781765;18.11526471;85.93179363;14.10392546
06/05/2013;20.415;19.27;25.17961176;19.24193529;87.0830125;7.490196318
07/05/2013;20.301;18.173;23.40198824;19.17031176;92.14243113;20.1666623
08/05/2013;20.172;13.479;22.48978235;18.50124118;92.12023505;36.44902159
09/05/2013;19.584;10.201;22.14214706;17.85494118;89.61838627;10.37647159
10/05/2013;20.474;18.421;24.42028824;17.53182941;85.49741667;8.523529324
11/05/2013;20.175;15.584;23.58825882;17.96801765;88.3196674;21.21764275
12/05/2013;19.541;3.236;24.79566471;17.24628824;85.74176569;12.06078569
13/05/2013;19.003;3.705;25.47967647;18.20802941;82.09406618;10.2980407
