Date;Incidencia
15/06/2018;35.77
15/07/2018;43.72
15/08/2018;26.76
15/09/2018;28.71
15/10/2018;32.34
15/11/2018;20.41
15/12/2018;3.69
15/01/2019;4.99
15/02/2019;8.62
15/03/2019;2.93
15/04/2019;5.68
15/05/2019;12.35
15/06/2019;11.63
15/07/2019;26.92
15/08/2019;43.71
