Date;Tair;RAD;Tmax;Tmin;RH;Rain
15/03/2013;18.89;13.353;27.88395;19.65085;79.72882396;1.283333488
16/03/2013;17.047;4.996;27.7614125;19.55475;79.72138073;1.53749995
17/03/2013;17.97;13.62;27.5789625;20.268;80.88578542;2.44583305
18/03/2013;18.613;18.499;26.9391125;18.26255;80.25848021;2.858332963
19/03/2013;18.737;17.871;26.6216;19.732925;83.84250885;6.962500988
20/03/2013;18.558;17.603;24.4893;19.5540375;86.95144219;8.89166695
21/03/2013;18.39;18.307;25.96785;19.707875;83.93398698;5.874999925
22/03/2013;18.921;20.056;27.1572875;19.88595;82.25210833;6.75833255
23/03/2013;19.274;19.429;25.1761125;19.5415875;86.20966094;9.4708344
24/03/2013;19.015;15.092;24.7886375;19.349825;86.98017396;9.154164475
25/03/2013;19.263;18.465;25.5009875;19.586475;85.4026974;14.29167014
26/03/2013;18.992;20.218;26.660175;18.939225;84.51052604;6.77500125
27/03/2013;19.278;20.313;27.05275;19.15445;84.5722651;14.57916606
28/03/2013;19.952;21.364;26.622875;19.33525;85.51432292;18.2916622
29/03/2013;18.541;14.765;26.5140125;18.8359;84.01572083;14.63333378
30/03/2013;18.675;10.664;24.9112375;19.851225;84.55225625;6.129166038
31/03/2013;17.782;6.016;27.0239625;18.64795;77.40907552;1.56249975
01/04/2013;19.074;19.954;29.0335875;20.030475;76.88008125;1.808333425
02/04/2013;19.33;21.156;27.988475;20.5562875;81.95436771;6.2666669
03/04/2013;18.968;17.145;26.1740875;20.3829625;86.45736771;4.362498488
04/04/2013;19.808;18.516;27.4429625;20.1479875;83.58000521;0.941666875
05/04/2013;19.462;17.759;27.5285875;20.5825125;83.56589011;1.08750035
06/04/2013;18.515;19.887;28.0691375;20.6218;82.13754792;2.200000275
07/04/2013;17.925;14.865;28.575;20.0368;78.84966354;0.179166625
08/04/2013;18.117;10.988;28.2240625;19.508425;79.51795208;2.487499713
09/04/2013;18.939;15.046;27.1896875;20.524525;81.34991458;5.099999513
10/04/2013;19.011;11.644;25.459325;20.08495;84.16453906;15.65416821
11/04/2013;18.034;5.177;26.0434375;19.5108375;83.92350052;14.54999561
12/04/2013;19.491;12.196;26.0648125;19.4882125;81.76873073;6.09583305
13/04/2013;19.324;6.471;26.1055875;19.000975;78.81217656;4.566665675
14/04/2013;19.226;8.7;27.5218625;17.8542125;77.74243281;4.375000388
15/04/2013;19.114;7.568;27.230425;17.6772;79.67416875;8.93749395
16/04/2013;18.923;10.382;25.1545875;20.046575;86.48594948;5.187499513
17/04/2013;18.962;9.711;26.4865625;21.030525;86.90241979;8.1041683
18/04/2013;19.018;9.073;24.8527875;20.949675;90.02826927;19.57916106
19/04/2013;19.391;12.5;25.57485;20.107825;85.86100156;15.09583394
20/04/2013;19.949;15.801;25.19285;19.499925;80.17504219;4.162499975
21/04/2013;20.056;17.038;24.446525;19.3715375;82.1817151;1.3041667
22/04/2013;20.342;19.589;25.0400375;20.0680375;86.8090724;8.737499613
23/04/2013;19.057;13.966;23.6560625;20.0943375;92.48584167;17.79166206
24/04/2013;19.448;19.859;25.8722;21.260375;92.61693333;12.61666904
25/04/2013;18.591;10.343;27.9174375;21.60745;88.08086511;6.045833475
26/04/2013;20.097;18.625;28.8680875;21.9229125;83.35803438;6.5208315
27/04/2013;21.435;18.926;26.4934;21.6547375;85.44800104;7.76250125
28/04/2013;22.145;18.426;25.96285;21.3135125;89.83687917;17.83750411
29/04/2013;22.058;20.332;25.2077125;20.7272;90.20476875;17.61249568
30/04/2013;20.861;15.916;22.9819875;19.5680625;91.20676094;17.59583851
01/05/2013;20.242;10.875;25.2183125;18.8727;85.96644063;9.349996488
02/05/2013;19.608;9.852;26.628225;19.8945125;86.24087708;8.625001388
03/05/2013;19.031;10.776;28.16875;20.72795;84.63345677;7.612502013
04/05/2013;19.307;16.753;28.110975;20.84975;81.98399167;2.116666263
05/05/2013;19.8;16.844;28.8301;21.02605;81.3678;0.7000001
06/05/2013;20.415;19.27;28.5725875;21.2707875;81.24365365;1.824998475
07/05/2013;20.301;18.173;27.698625;21.690525;84.67444167;4.445832175
08/05/2013;20.172;13.479;25.5939375;20.6018125;89.76336146;27.24999866
09/05/2013;19.584;10.201;25.5784125;19.4657125;87.02382083;7.066666088
10/05/2013;20.474;18.421;27.720175;20.3922875;82.5562526;9.087499713
11/05/2013;20.175;15.584;26.9314;20.55775;84.30077552;10.93749976
12/05/2013;19.541;3.236;28.4960625;19.413575;79.94949115;4.287501738
13/05/2013;19.003;3.705;28.9790375;20.7187875;76.52529427;1.024999825
14/05/2013;18.493;1.692;29.6451375;20.7565625;78.59395573;3.25833155
15/05/2013;19.204;5.696;29.6745375;21.3837125;82.81433073;10.62500023
16/05/2013;17.817;3.541;27.2309;22.0111;88.57241354;21.01250289
17/05/2013;19.225;12.821;26.2055125;22.234875;87.74416302;16.86666499
18/05/2013;19.516;13.144;27.6103625;21.9787;84.61448802;3.941667925
19/05/2013;19.284;8.773;28.6491375;21.5225;80.73125885;2.229167013
20/05/2013;18.825;7.912;28.337525;21.3532125;82.49424323;1.3708336
21/05/2013;20.069;13.548;28.263275;21.2121875;84.24260365;7.604168313
22/05/2013;20.118;13.909;27.94455;21.6827;86.44363386;10.50416743
23/05/2013;19.846;11.637;28.1994125;21.8525125;84.58234063;1.137500025
24/05/2013;18.882;1.829;29.34875;21.0415125;77.14045156;0
25/05/2013;19.616;12.77;29.756975;21.2832875;77.5680901;0
26/05/2013;19.299;9.185;29.268375;20.47195;77.58956094;0.024999988
27/05/2013;17.87;5.641;29.5288;21.669525;79.90931302;0.916666538
28/05/2013;18.366;16.556;29.375;21.019175;81.3974401;4.258334988
29/05/2013;19.276;19.364;29.108;21.4292875;82.35432344;2.6374999
30/05/2013;19.846;18.909;29.1667125;21.9469;81.72006042;10.43750491
31/05/2013;19.866;13.061;28.1232;21.1976875;84.3445849;8.5708336
01/06/2013;20.967;21.387;27.9559625;21.2750375;81.72678333;3.495832963
02/06/2013;21.177;16.332;28.3385;21.254775;83.90040261;4.945831338
03/06/2013;21.052;13.87;29.6478625;22.04155;80.32741615;2.362500525
04/06/2013;19.839;10.835;30.4468;21.8796;77.43609011;0.362499888
05/06/2013;20.411;18.272;30.64985;22.4681625;78.37906875;0.0125
06/06/2013;19.983;14.65;30.65925;21.967925;75.07175781;0.049999988
07/06/2013;19.779;9.745;29.7266375;20.453575;74.1933224;0.187500038
08/06/2013;19.822;8.161;29.112875;20.6270625;80.21286563;2.8249988
09/06/2013;19.725;11.664;29.310925;22.7347375;83.09125573;4.420832713
10/06/2013;19.539;9.039;30.498975;21.6873125;78.96462917;5.591667038
11/06/2013;20.065;12.255;28.681675;21.7269;83.17377969;12.54999546
12/06/2013;19.752;9.489;27.845375;21.124425;83.13089271;5.1583339
13/06/2013;20.906;15.858;29.698925;20.004925;77.91895104;1.329165838
14/06/2013;19.688;6.493;29.6555;21.8109375;79.81596354;4.350000138
15/06/2013;20.28;14.56;29.527525;22.36205;81.99555781;2.916667163
16/06/2013;20.16;6.117;26.644275;21.4873375;86.96629896;7.858333338
17/06/2013;19.968;4.765;28.3607125;21.6892625;81.04950469;4.704167113
18/06/2013;20.717;14.296;28.261325;21.519075;82.43025156;6.924999263
19/06/2013;21.025;15.418;28.3147875;21.319425;82.98858542;10.68333476
20/06/2013;20.205;6.389;28.7105625;21.612775;83.41444688;12.53750268
21/06/2013;18.89;3.086;27.4372;22.2889;84.14289427;3.795833
22/06/2013;18.532;1.302;27.152625;22.05995;87.7570349;15.75833441
23/06/2013;19.9;9.851;28.574875;21.0039;78.96642448;1.225000625
24/06/2013;21.371;19.344;28.9861375;21.301975;80.24597031;4.27083145
25/06/2013;20.54;8.585;29.0231125;22.3057875;82.43828281;7.65833155
26/06/2013;20.198;9.249;28.0804375;21.6217875;82.99239323;7.762498063
27/06/2013;19.242;1.487;29.5057875;21.984875;81.8998625;0.941666375
28/06/2013;20.494;11.915;28.9041625;22.565825;84.04034688;3.0000003
29/06/2013;20.131;11.047;29.694475;21.6939375;81.20797708;2.574999313
30/06/2013;19.314;9.103;29.2823375;22.5032375;81.83904583;7.712502525
01/07/2013;19.637;17.308;26.9574625;22.489125;80.51036875;1.020832675
02/07/2013;20.566;14.545;28.1376875;20.9426625;83.71499636;4.66666645
03/07/2013;19.405;2.333;28.5680375;21.542275;84.73244896;13.07916585
04/07/2013;19.773;11.798;28.982625;22.34875;83.81977761;2.633333513
