Date;Incidencia
01/01/2018;9.21
01/02/2018;16.89
01/03/2018;18.31
01/04/2018;18.49
01/05/2018;15.24
01/06/2018;19.53
01/07/2018;30.71
01/08/2018;25.55
01/09/2018;16.91
01/10/2018;10.69
01/11/2018;19.39
01/12/2018;38.77
01/01/2019;18.96
01/02/2019;16.25
01/03/2019;5.1
01/04/2019;3.89
01/05/2019;8.6
01/06/2019;6.33
01/07/2019;24.35
01/08/2019;35.1
