Regiones,Fecha,Mes,Year,Fec,Latitud,Longitud,Altura,Variedad,Fenologia,Hojas Evaluadas,Hojas con Roya,Incidencia,cat_Variedad,tipo_de_datos
Santa Barbara,1/24/2018,Enero,2018,1,15.11520004,-88.52809906,1200,CATUAI,Madurez Fisiologica,605,133,21.98,Susceptibles,a realizar
Santa Barbara,4/24/2018,Abril,2018,4,15.13298512,-88.33998871,1374,CATUAI,Hojas Nuevas Mayor al 30%,789,0,0,Susceptibles,a realizar
Cortes,1/25/2018,Enero,2018,1,15.1420002,-87.51010132,1479,CATUAI,Inicio de Cosecha,872,100,11.47,Susceptibles,a realizar
Santa Barbara,1/23/2018,Enero,2018,1,14.58170033,-88.52380371,1331,CATUAI,Madurez Fisiologica,452,91,20.13,Susceptibles,a realizar
Copan,4/25/2018,Abril,2018,4,14.6176672,-88.78840637,1375,CATUAI,Floracion,869,4,0.46,Susceptibles,a realizar
Comayagua,4/25/2018,Abril,2018,4,14.63564777,-87.74925995,1270,PACAS,Floracion,675,57,8.44,Susceptibles,a realizar
Copan,1/25/2018,Enero,2018,1,14.42952538,-89.26039886,1173,CATUAI,Madurez Fisiologica,731,54,7.39,Susceptibles,a realizar
Olancho,1/27/2018,Enero,2018,1,14.68593979,-86.53935242,1204,CATUAI,Madurez Fisiologica,1085,14,1.29,Susceptibles,a realizar
Comayagua,1/24/2018,Enero,2018,1,14.25,-87.47000122,1400,CATUAI,Madurez Fisiologica,519,207,39.88,Susceptibles,a realizar
Francisco Morazan,1/23/2018,Enero,2018,1,14.36987019,-86.83241272,1134,CATUAI,Madurez Fisiologica,809,26,3.21,Susceptibles,a realizar
Comayagua,1/25/2018,Enero,2018,1,14.56362152,-87.91187286,1341,CATUAI,Madurez Fisiologica,818,91,11.12,Susceptibles,a realizar
Comayagua,4/26/2018,Abril,2018,4,14.60000038,-87.90000153,1314,CATUAI,Floracion,926,35,3.78,Susceptibles,a realizar
Santa Barbara,4/25/2018,Abril,2018,4,14.87080002,-88.4654007,1300,CATUAI,Floracion Principal,530,45,8.49,Susceptibles,a realizar
Copan,1/30/2018,Enero,2018,1,14.60000038,-88.80999756,1164,CATUAI,Fruto Consistente,1628,0,0,Susceptibles,a realizar
Copan,1/23/2018,Enero,2018,1,14.59041023,-88.79580688,1180,CATUAI,Madurez Fisiologica,552,18,3.26,Susceptibles,a realizar
Copan,2/27/2018,Febrero,2018,2,14.80000019,-88.5,1376,PACAS,Hojas Nuevas Mayor al 30%,1255,170,13.55,Susceptibles,a realizar
Comayagua,2/20/2018,Febrero,2018,2,14.56362152,-87.91187286,1341,CATUAI,Madurez Fisiologica,328,135,41.16,Susceptibles,a realizar
Copan,2/19/2018,Febrero,2018,2,14.42952538,-89.26039886,1173,CATUAI,Madurez Fisiologica,748,119,15.91,Susceptibles,a realizar
Comayagua,2/18/2018,Febrero,2018,2,14.25,-87.45999908,1410,CATUAI,Fin de Cosecha,602,188,31.23,Susceptibles,a realizar
Comayagua,2/21/2018,Febrero,2018,2,14.63564777,-87.74925995,1270,PACAS,Madurez Fisiologica,643,67,10.42,Susceptibles,a realizar
Francisco Morazan,2/22/2018,Febrero,2018,2,14.42599964,-87.3234024,1370,CATUAI,Floracion,688,29,4.22,Susceptibles,a realizar
Copan,2/19/2018,Febrero,2018,2,14.5,-89,1458,CATUAI,Madurez Fisiologica,1095,0,0,Susceptibles,a realizar
Copan,2/23/2018,Febrero,2018,2,15,-88.90000153,1313,CATUAI,Hojas Nuevas Mayor al 30%,854,16,1.87,Susceptibles,a realizar
Francisco Morazan,2/22/2018,Febrero,2018,2,14.35999966,-87.3259964,1435,CATUAI,Floracion,830,21,2.53,Susceptibles,a realizar
Copan,2/27/2018,Febrero,2018,2,14.83275032,-88.52153015,1308,CATURRA,Hojas Nuevas Mayor al 30%,984,12,1.22,Susceptibles,a realizar
Francisco Morazan,2/19/2018,Febrero,2018,2,13.19557953,-86.4992981,1406,CATUAI,Madurez Fisiologica,982,35,3.56,Susceptibles,a realizar
Santa Barbara,2/27/2018,Febrero,2018,2,14.58170033,-88.52380371,1331,CATUAI,Madurez Fisiologica,752,82,10.9,Susceptibles,a realizar
Comayagua,2/20/2018,Febrero,2018,2,14.51183414,-87.84506989,1440,CATUAI,Madurez Fisiologica,529,148,27.98,Susceptibles,a realizar
Copan,2/23/2018,Febrero,2018,2,14.69999981,-89.09999847,1363,CATUAI,Fin de Cosecha,744,10,1.34,Susceptibles,a realizar
Cortes,2/20/2018,Febrero,2018,2,15.15375805,-87.63635254,1171,CATUAI,Madurez Fisiologica,723,171,23.65,Susceptibles,a realizar
Copan,2/20/2018,Febrero,2018,2,14.80000019,-88.5,1434,CATUAI,Hojas Nuevas Mayor al 30%,1067,169,15.84,Susceptibles,a realizar
Copan,2/23/2018,Febrero,2018,2,14.67031384,-89.0611496,1125,CATUAI,Fin de Cosecha,839,11,1.31,Susceptibles,a realizar
El Paraiso,2/22/2018,Febrero,2018,2,13.48069954,-86.24295044,1105,CATUAI,Madurez Fisiologica,600,179,29.83,Susceptibles,a realizar
Copan,2/20/2018,Febrero,2018,2,14.39999962,-89,1206,PACAS,Hojas Nuevas Mayor al 30%,1049,0,0,Susceptibles,a realizar
Copan,2/20/2018,Febrero,2018,2,14.80417824,-88.55744171,1417,PACAS,Hojas Nuevas Mayor al 30%,783,4,0.51,Susceptibles,a realizar
Santa Barbara,2/22/2018,Febrero,2018,2,14.50986004,-88.25153351,1435,CATUAI,Madurez Fisiologica,498,41,8.23,Susceptibles,a realizar
Francisco Morazan,2/22/2018,Febrero,2018,2,14.36987019,-86.83241272,1134,CATUAI,Hojas Nuevas Mayor al 30%,910,72,7.91,Susceptibles,a realizar
Cortes,2/21/2018,Febrero,2018,2,15.05525017,-87.23021698,1339,CATUAI,Madurez Fisiologica,1101,130,11.81,Susceptibles,a realizar
Copan,2/20/2018,Febrero,2018,2,14.5259304,-88.88973999,1200,CATUAI,Madurez Fisiologica,622,48,7.72,Susceptibles,a realizar
Comayagua,2/22/2018,Febrero,2018,2,14.89006901,-87.59043121,1125,CATUAI,Madurez Fisiologica,515,123,23.88,Susceptibles,a realizar
Comayagua,2/21/2018,Febrero,2018,2,14.55576992,-87.96607971,1422,CATUAI,Madurez Fisiologica,1047,23,2.2,Susceptibles,a realizar
Comayagua,2/18/2018,Febrero,2018,2,14.42083263,-87.77027893,1171,CATUAI,Fin de Cosecha,665,103,15.49,Susceptibles,a realizar
Santa Barbara,2/22/2018,Febrero,2018,2,14.96000004,-88.08000183,1293,CATUAI,Madurez Fisiologica,1079,167,15.48,Susceptibles,a realizar
Copan,2/15/2018,Febrero,2018,2,14.43840408,-88.87591553,1277,PACAS,Madurez Fisiologica,1223,0,0,Susceptibles,a realizar
Copan,2/23/2018,Febrero,2018,2,14.61065865,-88.78356171,1322,CATUAI,Floracion,713,36,5.05,Susceptibles,a realizar
Copan,2/23/2018,Febrero,2018,2,14.58747578,-89.10412598,1457,CATUAI,Madurez Fisiologica,720,0,0,Susceptibles,a realizar
Comayagua,2/20/2018,Febrero,2018,2,14.60000038,-87.90000153,1310,CATUAI,Madurez Fisiologica,665,83,12.48,Susceptibles,a realizar
Comayagua,2/21/2018,Febrero,2018,2,14.23999977,-87.90000153,1420,CATUAI,Madurez Fisiologica,1009,33,3.27,Susceptibles,a realizar
Olancho,2/24/2018,Febrero,2018,2,14.68593979,-86.53935242,1204,CATUAI,Madurez Fisiologica,1115,7,0.63,Susceptibles,a realizar
Santa Barbara,2/27/2018,Febrero,2018,2,14.89999962,-88.40000153,1227,CATUAI,Floracion,829,13,1.57,Susceptibles,a realizar
