Regiones,Fecha,Mes,Year,Fec,Latitud,Longitud,Altura,Variedad,Fenologia,Hojas Evaluadas,Hojas con Roya,Incidencia,cat_Variedad,tipo_de_datos
Comayagua,1/25/2018,Enero,2018,1,14.35000038,-87.30000305,1150,ICATU,Hojas Nuevas Mayor al 30%,413,113,27.36,Susceptibles,a realizar
Comayagua,5/21/2017,Mayo,2017,5,14.2106657,-88.06571198,1248,CATUAI,Hojas Nuevas Mayor al 30%,1226,0,0,Susceptibles,a realizar
Francisco Morazan,11/21/2017,Noviembre,2017,11,14.37356663,-86.82189178,1116,CATUAI,Madurez Fisiologica,626,104,16.61,Susceptibles,a realizar
Copan,3/28/2018,Marzo,2018,3,14.39999962,-89,1206,PACAS,Hojas Nuevas Mayor al 30%,1139,0,0,Susceptibles,a realizar
Comayagua,9/22/2017,Septiembre,2017,9,14.78559971,-87.5039978,1401,CATUAI,Fruto Consistente,773,43,5.56,Susceptibles,a realizar
Copan,8/14/2017,Agosto,2017,8,14.67031384,-89.0611496,1125,CATUAI,Desarrollo,698,9,1.29,Susceptibles,a realizar
Copan,9/18/2017,Septiembre,2017,9,14.67031384,-89.0611496,1125,CATUAI,Desarrollo,717,21,2.93,Susceptibles,a realizar
Comayagua,10/18/2017,Octubre,2017,10,14.35000038,-87.30000305,1150,ICATU,Madurez Fisiologica,883,127,14.38,Susceptibles,a realizar
Copan,1/26/2018,Enero,2018,1,14.30000019,-88.5,1409,CATUAI,Madurez Fisiologica,738,17,2.3,Susceptibles,a realizar
Copan,3/28/2018,Marzo,2018,3,14.66378975,-88.96663666,1490,CATUAI,Floracion Loca,621,20,3.22,Susceptibles,a realizar
Santa Barbara,1/24/2018,Enero,2018,1,14.87520027,-88.49069977,1228,CATUAI,Madurez Fisiologica,736,163,22.15,Susceptibles,a realizar
Santa Barbara,5/24/2017,Mayo,2017,5,14.8295002,-88.46264648,1331,CATUAI,Formacion de Fruto,1013,9,0.89,Susceptibles,a realizar
Comayagua,1/24/2018,Enero,2018,1,14.25,-87.47000122,1285,CATUAI,Madurez Fisiologica,792,80,10.1,Susceptibles,a realizar
Copan,3/27/2018,Marzo,2018,3,14.60000038,-88.80999756,1164,CATUAI,Floracion,1550,3,0.19,Susceptibles,a realizar
Comayagua,11/17/2017,Noviembre,2017,11,14.60000038,-88,1239,CATUAI,Madurez Fisiologica,876,115,13.13,Susceptibles,a realizar
Copan,11/21/2017,Noviembre,2017,11,14.49124241,-89.15490723,1113,CATUAI,Madurez Fisiologica,743,71,9.56,Susceptibles,a realizar
Comayagua,3/27/2018,Marzo,2018,3,14.25,-87.47000122,1285,CATUAI,Hojas Nuevas Mayor al 30%,308,38,12.34,Susceptibles,a realizar
Copan,8/17/2017,Agosto,2017,8,14.58747578,-89.10412598,1457,CATUAI,Fruto Consistente,695,13,1.87,Susceptibles,a realizar
Comayagua,8/14/2017,Agosto,2017,8,14.84921074,-87.56242371,1421,CATUAI,Fruto Consistente,631,99,15.69,Susceptibles,a realizar
Copan,9/26/2017,Septiembre,2017,9,14.56000042,-88.62000275,1140,CATUAI,Madurez Fisiologica,936,53,5.66,Susceptibles,a realizar
Santa Barbara,1/23/2018,Enero,2018,1,14.57509995,-88.52269745,1437,CATUAI,Madurez Fisiologica,528,21,3.98,Susceptibles,a realizar
Comayagua,3/28/2018,Marzo,2018,3,14.60000038,-87.90000153,1314,CATUAI,Floracion Loca,818,96,11.74,Susceptibles,a realizar
Francisco Morazan,1/25/2018,Enero,2018,1,14.41399956,-87.28469849,1445,CATUAI,Floracion,748,30,4.01,Susceptibles,a realizar
Comayagua,5/26/2017,Mayo,2017,5,14.52999973,-88.26999664,1157,CATUAI,Floracion Principal,753,92,12.22,Susceptibles,a realizar
Copan,5/26/2017,Mayo,2017,5,14.81343365,-88.5480423,1362,PACAS,Floracion Principal,841,62,7.37,Susceptibles,a realizar
Santa Barbara,9/21/2017,Septiembre,2017,9,15.13298512,-88.33998871,1374,CATUAI,Fruto Consistente,685,170,24.82,Susceptibles,a realizar
Santa Barbara,3/31/2018,Marzo,2018,3,14.87080002,-88.4654007,1300,CATUAI,Madurez Fisiologica,603,62,10.28,Susceptibles,a realizar
Comayagua,1/23/2018,Enero,2018,1,14.31999969,-87.29000092,1466,CATURRA,Madurez Fisiologica,755,123,16.29,Susceptibles,a realizar
Comayagua,3/29/2018,Marzo,2018,3,14.85779953,-87.5561676,1270,CATUAI,Hojas Nuevas Mayor al 30%,739,94,12.72,Susceptibles,a realizar
Copan,5/23/2017,Mayo,2017,5,14.80000019,-88.5,1434,CATUAI,Floracion Principal,846,0,0,Susceptibles,a realizar
Comayagua,9/25/2017,Septiembre,2017,9,14.21695137,-87.95018005,1412,CATUAI,Madurez Fisiologica,328,10,3.05,Susceptibles,a realizar
Francisco Morazan,3/31/2018,Marzo,2018,3,14.35099983,-87.32479858,1431,CATUAI,Floracion,608,20,3.29,Susceptibles,a realizar
Santa Barbara,1/24/2018,Enero,2018,1,15.13850403,-88.33464813,1416,CATUAI,Madurez Fisiologica,721,3,0.42,Susceptibles,a realizar
Copan,3/29/2018,Marzo,2018,3,14.69999981,-89.09999847,1222,CATUAI,Floracion,705,5,0.71,Susceptibles,a realizar
Comayagua,3/29/2018,Marzo,2018,3,14.2106657,-88.06571198,1248,CATUAI,Floracion Principal,992,6,0.6,Susceptibles,a realizar
Francisco Morazan,1/23/2018,Enero,2018,1,14.37356663,-86.82189178,1116,CATUAI,Madurez Fisiologica,585,147,25.13,Susceptibles,a realizar
Copan,1/25/2018,Enero,2018,1,14.6176672,-88.78840637,1375,CATUAI,Madurez Fisiologica,952,22,2.31,Susceptibles,a realizar
Copan,1/26/2018,Enero,2018,1,14.58747578,-89.10412598,1457,CATUAI,Madurez Fisiologica,686,0,0,Susceptibles,a realizar
Copan,1/24/2018,Enero,2018,1,14.5259304,-88.88973999,1200,CATUAI,Madurez Fisiologica,541,23,4.25,Susceptibles,a realizar
Comayagua,9/22/2017,Septiembre,2017,9,14.80410004,-87.5134964,1277,CATUAI,Fruto Consistente,732,441,60.25,Susceptibles,a realizar
Copan,9/21/2017,Septiembre,2017,9,15.10000038,-88.80000305,1268,CATUAI,Fruto Consistente,989,25,2.53,Susceptibles,a realizar
Comayagua,7/19/2017,Julio,2017,7,14.31999969,-87.29000092,1466,CATURRA,Fruto Consistente,712,304,42.7,Susceptibles,a realizar
Cortes,5/25/2017,Mayo,2017,5,15.01294327,-87.35038757,1400,PACAS,Fruto Consistente,1136,0,0,Susceptibles,a realizar
Francisco Morazan,9/22/2017,Septiembre,2017,9,14.41399956,-87.28469849,1445,CATUAI,Fruto Consistente,928,0,0,Susceptibles,a realizar
Comayagua,9/16/2017,Septiembre,2017,9,14.57135296,-87.90657043,1420,PACAS,Fruto Consistente,777,28,3.6,Susceptibles,a realizar
Copan,3/28/2018,Marzo,2018,3,14.58747578,-89.10412598,1457,CATUAI,Floracion,739,37,5.01,Susceptibles,a realizar
Copan,3/28/2018,Marzo,2018,3,14.48569965,-88.59230042,1187,ICATU,Floracion Loca,1066,37,3.47,Susceptibles,a realizar
Santa Barbara,3/28/2018,Marzo,2018,3,15.12261391,-88.3114624,1360,CATUAI,Madurez Fisiologica,874,2,0.23,Susceptibles,a realizar
Copan,8/16/2017,Agosto,2017,8,14.65308475,-89.10975647,1253,CATUAI,Desarrollo,806,8,0.99,Susceptibles,a realizar
Comayagua,3/31/2018,Marzo,2018,3,14.56362152,-87.91187286,1341,CATUAI,Floracion Loca,677,138,20.38,Susceptibles,a realizar
Francisco Morazan,3/27/2018,Marzo,2018,3,14.61325073,-86.77362061,1327,CATUAI,Floracion,847,84,9.92,Susceptibles,a realizar
Comayagua,9/21/2017,Septiembre,2017,9,14.560462,-87.95731354,1398,CATUAI,Fruto Consistente,1323,22,1.66,Susceptibles,a realizar
Copan,8/13/2017,Agosto,2017,8,14.5,-89,1458,CATUAI,Fruto Consistente,1142,0,0,Susceptibles,a realizar
Francisco Morazan,1/23/2018,Enero,2018,1,14.36901474,-86.8718338,1378,CATUAI,Madurez Fisiologica,720,22,3.06,Susceptibles,a realizar
Santa Barbara,7/19/2017,Julio,2017,7,14.8295002,-88.46264648,1331,CATUAI,Formacion de Fruto,1087,44,4.05,Susceptibles,a realizar
Copan,3/30/2018,Marzo,2018,3,14.65308475,-89.10975647,1253,CATUAI,Floracion,716,7,0.98,Susceptibles,a realizar
Comayagua,1/23/2018,Enero,2018,1,14.32999992,-87.29000092,1395,CATURRA,Madurez Fisiologica,474,137,28.9,Susceptibles,a realizar
Copan,1/23/2018,Enero,2018,1,14.69999981,-89.09999847,1363,CATUAI,Fin de Cosecha,688,10,1.45,Susceptibles,a realizar
Comayagua,5/24/2017,Mayo,2017,5,14.85779953,-87.5561676,1270,CATUAI,Fruto Consistente,668,66,9.88,Susceptibles,a realizar
Santa Barbara,3/31/2018,Marzo,2018,3,14.8295002,-88.46264648,1331,CATUAI,Floracion Loca,560,14,2.5,Susceptibles,a realizar
Comayagua,7/19/2017,Julio,2017,7,14.47000027,-88.26000214,1443,CATUAI,Fruto Consistente,842,123,14.61,Susceptibles,a realizar
Santa Barbara,9/21/2017,Septiembre,2017,9,14.87769985,-88.41269684,1208,CATUAI,Fruto Consistente,728,369,50.69,Susceptibles,a realizar
Santa Barbara,5/24/2017,Mayo,2017,5,14.58310032,-88.53559875,1193,CATUAI,Madurez Fisiologica,740,74,10,Susceptibles,a realizar
Francisco Morazan,8/28/2017,Agosto,2017,8,14.41399956,-87.28469849,1445,CATUAI,Fruto Consistente,1123,0,0,Susceptibles,a realizar
El Paraiso,5/22/2017,Mayo,2017,5,14.10999966,-86.72000122,1332,CATUAI,Formacion de Fruto,1256,27,2.15,Susceptibles,a realizar
Santa Barbara,3/24/2017,Marzo,2017,3,14.89999962,-88.40000153,1198,CATUAI,Floracion Principal,873,98,11.23,Susceptibles,a realizar
Comayagua,9/21/2017,Septiembre,2017,9,14.48569965,-87.31430054,1260,ICATU,Fruto Consistente,1278,29,2.27,Susceptibles,a realizar
Copan,3/30/2018,Marzo,2018,3,14.30000019,-88.5,1409,CATUAI,Hojas Nuevas Mayor al 30%,749,0,0,Susceptibles,a realizar
