fecha,pais,altitud,variedad,incidencia
23/05/2017,honduras,941,mezcla,11.32
24/05/2017,honduras,1193,catuai,10
24/05/2017,honduras,950,catuai,0.16
26/05/2017,honduras,1171,pacas,1.09
24/05/2017,honduras,865,catuai,1.45
27/05/2017,honduras,1030,java,0.21
24/05/2017,honduras,1030,catuai,0.96
23/05/2017,honduras,934,pacas,9.67
24/05/2017,honduras,873,catuai,0
26/05/2017,honduras,1157,catuai,12.22
24/05/2017,honduras,1168,mezcla,1.97
26/05/2017,honduras,925,catuai,6.56
24/05/2017,honduras,756,catuai,8.21
23/05/2017,honduras,1134,catuai,0.2
29/05/2017,honduras,865,mezcla,1.85
27/05/2017,honduras,1051,mezcla,1.5
25/05/2017,honduras,900,pacas,6.83
25/05/2017,honduras,1080,catuai,6.96
26/05/2017,honduras,1042,mezcla,5.47
26/05/2017,honduras,1198,catuai,3.73
24/05/2017,honduras,1068,pacamara,2
22/05/2017,honduras,947,catuai,1.06
24/05/2017,honduras,1163,mezcla,5.62
25/05/2017,honduras,1113,catuai,5.15
24/05/2017,honduras,980,catuai,0
26/05/2017,honduras,1040,bourbon,3.98
22/11/2017,honduras,756,catuai,29.06
20/11/2017,honduras,1108,caturra,22.98
24/11/2017,honduras,1040,pacas,5.36
24/11/2017,honduras,890,mezcla,5.87
21/11/2017,honduras,741,mezcla,14.96
23/11/2017,honduras,1030,java,1.21
28/11/2017,honduras,1188,bourbon,6.3
21/11/2017,honduras,1113,catuai,9.56
24/11/2017,honduras,1125,catuai,23.42
27/11/2017,honduras,934,pacas,37.14
22/11/2017,honduras,886,catuai,8.96
21/11/2017,honduras,1116,catuai,16.61
22/11/2017,honduras,1180,catuai,1.01
21/11/2017,honduras,1157,catuai,26.02
28/11/2017,honduras,1198,catuai,1.43
24/11/2017,honduras,965,catuai,0.42
22/11/2017,honduras,1042,mezcla,12.13
23/11/2017,honduras,1051,mezcla,1.28
23/11/2017,honduras,947,catuai,0
20/11/2017,honduras,873,catuai,0.1
20/11/2017,honduras,1068,pacamara,24.04
23/11/2017,honduras,1163,mezcla,1.87
22/11/2017,honduras,1020,catuai,4.22
22/11/2017,honduras,1068,catuai,6.33
21/11/2017,honduras,980,catuai,20.49
21/11/2017,honduras,1105,catuai,32.05
20/11/2017,honduras,1037,catuai,14.6
21/11/2017,honduras,1160,mezcla,0
21/11/2017,honduras,1134,catuai,2.22
21/11/2017,honduras,900,pacas,32.55
21/11/2017,honduras,1168,mezcla,1.44
22/11/2017,honduras,959,villa sarchi,7.23
24/11/2017,honduras,1085,catuai,16.41
28/11/2017,honduras,1157,catuai,38.32
21/11/2017,honduras,1030,catuai,2.6
28/11/2017,honduras,1040,bourbon,2.12
20/11/2017,honduras,1193,catuai,14.43
24/11/2017,honduras,941,mezcla,20.29
23/11/2017,honduras,1035,catuai,13.89
21/11/2017,honduras,913,pacas,39.02
22/11/2017,honduras,865,catuai,5.25
28/11/2017,honduras,1092,catuai,10.39
23/11/2017,honduras,1171,pacas,8.52
20/11/2017,honduras,1080,catuai,8.86
27/11/2017,honduras,1052,catuai,16.33
20/11/2017,honduras,1140,catuai,11.1
21/11/2017,honduras,1171,catuai,8.07
21/11/2017,honduras,865,mezcla,0.93
20/11/2017,honduras,1025,pacas,35.36
24/11/2017,honduras,1173,catuai,0
18/10/2017,honduras,1171,catuai,3.96
16/10/2017,honduras,1037,catuai,16.87
24/10/2017,honduras,1198,catuai,5.03
17/10/2017,honduras,1068,catuai,0
18/10/2017,honduras,900,pacas,22.62
18/10/2017,honduras,1035,catuai,5.23
19/10/2017,honduras,947,catuai,0
19/10/2017,honduras,1126,catuai,0.92
17/10/2017,honduras,1052,catuai,24.74
17/10/2017,honduras,886,catuai,0
17/10/2017,honduras,865,mezcla,0.62
18/10/2017,honduras,1040,pacas,5.79
18/10/2017,honduras,925,catuai,13.72
16/10/2017,honduras,865,catuai,9.18
16/10/2017,honduras,1051,mezcla,0.48
17/10/2017,honduras,965,catuai,0.07
