fecha,tmax,tmin,precipitacion
2014-11-23,28.8,19.7,0
2014-11-24,29.2,21.6,0
2014-11-25,28.7,22.8,48.3
2014-11-26,29.3,23.1,44.4
2014-11-27,28.7,22,13.9
2014-11-28,28.4,22.3,4.4
2014-11-29,28.3,21.6,2.1
2014-11-30,26.9,20.4,3
2014-12-01,29.1,19.6,6.5
2014-12-02,29.7,22.4,10.2
2014-12-03,25.6,22.6,49.4
2014-12-04,28,22.9,14.4
2014-12-05,28.4,23.3,4.3
2014-12-06,27.9,23.4,20.7
2014-12-07,25,21.8,36.5
2014-12-08,26.4,21.6,8
2014-12-09,28,22.1,10.9
2014-12-10,28.9,22,1
2014-12-11,28.4,21.9,47.7
2014-12-12,24.5,22.7,43.6
2014-12-13,26.7,22.2,33.9
2014-12-14,25.6,20.3,41.2
2014-12-15,27.3,21.9,0
2014-12-16,26.3,21.4,16.5
2014-12-17,24.9,20.9,14.8
2014-12-18,28.9,22.2,4.6
2014-12-19,26.9,19.2,0
2014-12-20,27.3,18.4,0
2014-12-21,25.9,18.4,0.5
2014-12-22,27.4,19.5,0
2014-12-23,27.4,18.1,0
2014-12-24,27.7,21.4,5.3
2014-12-25,27.7,20.1,0.2
2014-12-26,27.1,20.7,6.9
2014-12-27,25.6,20.4,3
2014-12-28,27.3,18.7,0
2014-12-29,28.9,19.5,11.8
2014-12-30,24.3,20.2,11.2
2014-12-31,29.1,21.6,7.4
