fecha_median,mes,pais,anio,cat_altitud,Aparicion_hojas,Infeccion,Latencia,Lavado,Efecto_inc_defol,Inoculo,carga_fruct,variedad,nutri_adecuada,sombra,date_floracion,date_ini_cosecha,date_fin_cosecha,numdia_floracion,numdia_ini_cosecha,numdia_fin_cosecha,quimicos,poda,incidencia_observada,incidencia_pronosticada,error_t
4/2017,4,honduras,2017,Media,7,3,16,1,Efecto medio de la incidencia sobre la defoliacion,Inoculum bajo,media,susceptible,si,baja,4/1/2017,10/1/2017,1/1/2018,91,274,1,1,4,4.01,10.5609375,6.5509
5/2017,5,honduras,2017,Media,13,7,16,4,Efecto medio de la incidencia sobre la defoliacion,Inoculum bajo,media,susceptible,si,baja,4/1/2017,10/1/2017,1/1/2018,91,274,1,2,4,1.985,3.487777778,1.5028
6/2017,6,honduras,2017,Media,15,12,16,10,Efecto medio de la incidencia sobre la defoliacion,Inoculum bajo,media,susceptible,si,baja,4/1/2017,10/1/2017,1/1/2018,91,274,1,2,4,2.82,1.462777778,-1.3572
7/2017,7,honduras,2017,Media,12,11,16,5,Efecto medio de la incidencia sobre la defoliacion,Inoculum bajo,media,susceptible,si,baja,4/1/2017,10/1/2017,1/1/2018,91,274,1,2,4,2.01,4.589384902,2.5794
8/2017,8,honduras,2017,Media,11,7,16,1,Efecto medio de la incidencia sobre la defoliacion,Inoculum bajo,media,susceptible,si,baja,4/1/2017,10/1/2017,1/1/2018,91,274,1,2,4,3.11,3.779384902,0.6694
9/2017,9,honduras,2017,Media,11,9,16,5,Efecto medio de la incidencia sobre la defoliacion,Inoculum bajo,media,susceptible,si,baja,4/1/2017,10/1/2017,1/1/2018,91,274,1,2,4,6.18,2.587777778,-3.5922
10/2017,10,honduras,2017,Media,10,7,16,6,Efecto medio de la incidencia sobre la defoliacion,Inoculum bajo,media,susceptible,si,baja,4/1/2017,10/1/2017,1/1/2018,91,274,1,2,4,6.7,9.4378125,2.7378
11/2017,11,honduras,2017,Media,8,1,12,0,Efecto medio de la incidencia sobre la defoliacion,Inoculum bajo,media,susceptible,si,baja,4/1/2017,10/1/2017,1/1/2018,91,274,1,2,4,8.91,3.930769231,-4.9792
12/2017,12,honduras,2017,Media,6,0,6,0,Efecto medio de la incidencia sobre la defoliacion,Inoculum bajo,media,susceptible,si,baja,4/1/2017,10/1/2017,1/1/2018,91,274,1,2,4,9.18,6.140769231,-3.0392
2/2016,2,republica_dominicana,2016,Media,14,4,5,0,Efecto alto de la incidencia sobre la defoliacion,Inoculum alto,baja,susceptible,no,media,4/1/2016,10/1/2016,1/1/2017,92,275,1,2,4,38.73,41.76264706,3.0326
