"fecha","precip","tmean"
"13/1/2015",1.1,22.1666666666667
"13/1/2016",0.6,21.1333333333333
"13/1/2017",0,20.7
"13/10/2015",3.1,23.8
"13/10/2016",2.8,21.5333333333333
"13/10/2017",1.3,22.4666666666667
"13/11/2015",0,22.8666666666667
"13/11/2016",0,22.5666666666667
"13/11/2017",3,20.8333333333333
"13/12/2015",0,16.2666666666667
"13/12/2016",1.8,21.9666666666667
"13/12/2017",0.633333333333333,16.8
"13/2/2015",0.533333333333333,19.05
"13/2/2016",3.36666666666667,17.25
"13/2/2017",0,22.95
"13/3/2015",0.0666666666666667,23.8
"13/3/2016",6.7,25.45
"13/3/2017",0.633333333333333,23.8666666666667
"13/4/2015",0,25.5666666666667
"13/4/2016",0,26.7
"13/4/2017",0.1,22.6333333333333
"13/5/2015",0,25.5666666666667
"13/5/2016",0,26.0333333333333
"13/5/2017",18.7333333333333,24.8666666666667
"13/6/2015",41.6,24.1333333333333
"13/6/2016",3,24.3333333333333
"13/6/2017",3.33333333333333,23.6666666666667
"13/7/2015",0,23.5
"13/7/2016",5.26666666666667,23.5666666666667
"13/7/2017",6.93333333333333,21.25
"13/8/2015",0,23.9333333333333
"13/8/2016",3.33333333333333,24.0333333333333
"13/8/2017",0.466666666666667,23.8333333333333
"13/9/2015",17.8666666666667,24.1333333333333
"13/9/2016",18.2666666666667,23.8666666666667
"13/9/2017",7.5,24.0666666666667
"14/1/2015",0.233333333333333,21.5
"14/1/2016",0,23.4666666666667
"14/1/2017",0.5,20.4666666666667
"14/10/2015",21.9,23.5666666666667
"14/10/2016",0.3,22.9333333333333
"14/10/2017",0.533333333333333,22.3333333333333
"14/11/2015",1.96666666666667,22.7333333333333
"14/11/2016",0.0666666666666667,21.8333333333333
"14/11/2017",4.63333333333333,21.8
"14/12/2015",12.6666666666667,15.9
"14/12/2016",0.4,23.2
"14/12/2017",0,19.1
"14/2/2015",0.0666666666666667,18.2
"14/2/2016",3.2,19.5333333333333
"14/2/2017",0,21.25
"14/3/2015",0,23.0333333333333
"14/3/2016",0.566666666666667,25.1
"14/3/2017",1.2,23.8
"14/4/2015",1.26666666666667,25.3333333333333
"14/4/2016",0,26.0333333333333
"14/4/2017",0,23.2666666666667
"14/5/2015",0,24.9
"14/5/2016",0.266666666666667,26.1666666666667
"14/5/2017",9.5,24.8
"14/6/2015",8.9,23.9666666666667
"14/6/2016",20.4333333333333,24.0333333333333
"14/6/2017",28.6,23.6666666666667
"14/7/2015",0.2,23.4666666666667
"14/7/2016",0,23.8333333333333
"14/7/2017",21.1,22.1333333333333
"14/8/2015",0.333333333333333,25.0333333333333
"14/8/2016",10.8333333333333,23.7
"14/8/2017",5.85,23.9666666666667
"14/9/2015",9.96666666666667,24.4666666666667
"14/9/2016",7.56666666666667,23.6
"14/9/2017",0.2,24.1333333333333
"15/1/2015",0.666666666666667,21.8
"15/1/2016",0,22.9666666666667
"15/1/2017",2.13333333333333,19.15
"15/10/2015",7.33333333333333,23.2
"15/10/2016",3.16666666666667,22.4666666666667
"15/10/2017",0,23.0666666666667
"15/11/2015",5.8,22.9
"15/11/2016",0,22.1
"15/11/2017",0.866666666666667,21.8333333333333
"15/12/2015",11,16.3333333333333
"15/12/2016",0.866666666666667,22.3
"15/12/2017",0.0666666666666667,21.5333333333333
"15/2/2015",0.133333333333333,18.85
"15/2/2016",0.0333333333333333,23.3
"15/2/2017",0,22.2
"15/3/2015",0,23.5
"15/3/2016",0,24.4
"15/3/2017",1.53333333333333,21.1666666666667
"15/4/2015",2.86666666666667,25.2
"15/4/2016",0,25.1333333333333
"15/4/2017",0.1,23.2
"15/5/2015",5.2,24.5666666666667
"15/5/2016",2.06666666666667,25.5666666666667
"15/5/2017",2.06666666666667,24.8
"15/6/2015",0.133333333333333,24.3666666666667
"15/6/2016",10.7,23.8666666666667
"15/6/2017",28.4666666666667,23.1
"15/7/2015",7.1,23.8333333333333
"15/7/2016",0.2,24.3333333333333
"15/7/2017",5.86666666666667,22.9
"15/8/2015",10.4,23.4
"15/8/2016",20.7333333333333,23.55
"15/8/2017",8.76666666666667,22.7
"15/9/2015",0.333333333333333,24.7
"15/9/2016",11.55,23.8666666666667
"15/9/2017",0,24.1
"16/1/2015",1.46666666666667,21.3666666666667
"16/1/2016",0,23.1666666666667
"16/1/2017",0,19.8666666666667
"16/10/2015",21.7333333333333,23.4666666666667
"16/10/2016",4.33333333333333,23
"16/10/2017",0.0333333333333333,23.1333333333333
"16/11/2015",0.1,23.1333333333333
"16/11/2016",0.0666666666666667,22.1666666666667
"16/11/2017",1.13333333333333,21.4
"16/12/2015",0,16.2666666666667
"16/12/2016",0.366666666666667,20.8
"16/12/2017",0.05,20.85
"16/2/2015",0,21.45
"16/2/2016",0,22.4666666666667
"16/2/2017",0,22.3333333333333
"16/3/2015",0,22.9
"16/3/2016",0,24.4
"16/3/2017",3.96666666666667,19.45
"16/4/2015",3.83333333333333,24.3
"16/4/2016",0,26.1666666666667
"16/4/2017",0.533333333333333,23.4333333333333
"16/5/2015",9.2,23.7333333333333
"16/5/2016",7,26.5666666666667
"16/5/2017",0.666666666666667,25.1333333333333
"16/6/2015",4.55,24.6333333333333
"16/6/2016",19.4666666666667,23.5
"16/6/2017",30.8,23.0666666666667
"16/7/2015",6.5,24.4666666666667
"16/7/2016",0,23.8
"16/7/2017",1.6,23.9
"16/8/2015",14.1666666666667,24.1333333333333
"16/8/2016",18.5333333333333,23.9
"16/8/2017",0.333333333333333,24.6
"16/9/2015",11.5333333333333,24.6333333333333
"16/9/2016",0.666666666666667,23.9666666666667
"16/9/2017",11.7,24.4333333333333
"17/1/2015",0.566666666666667,20.4
"17/1/2016",0,20.7
"17/1/2017",0.8,22
"17/10/2015",8.36666666666667,21.8
"17/10/2016",10.8333333333333,23.0333333333333
"17/10/2017",0.466666666666667,23.4666666666667
"17/11/2015",0,23.7
"17/11/2016",6.4,20.2333333333333
"17/11/2017",0,20.75
"17/12/2015",0.666666666666667,16.4333333333333
"17/12/2016",0.133333333333333,23.5666666666667
"17/12/2017",0,19.6666666666667
"17/2/2015",0,22.2333333333333
"17/2/2016",0,22.3
"17/2/2017",0,22.7666666666667
"17/3/2015",0,21.9
"17/3/2016",0,26.15
"17/3/2017",0.1,20.5666666666667
"17/4/2015",4.36666666666667,24.7666666666667
"17/4/2016",5.66666666666667,26.3666666666667
"17/4/2017",7.5,23.7666666666667
"17/5/2015",1.6,24
"17/5/2016",8.86666666666667,25.6
"17/5/2017",0.0333333333333333,25.0666666666667
"17/6/2015",0.333333333333333,23.6
"17/6/2016",25.3333333333333,22.9666666666667
"17/6/2017",13,22.6666666666667
"17/7/2015",7.33333333333333,24.5333333333333
"17/7/2016",0,24.5666666666667
"17/7/2017",15.2666666666667,23.6
"17/8/2015",13.9,24.9
"17/8/2016",5.86666666666667,24.9666666666667
"17/8/2017",0,24.4333333333333
"17/9/2015",1.13333333333333,24.3
"17/9/2016",9.83333333333333,23.9666666666667
"17/9/2017",5.7,24.3666666666667
"18/1/2015",3.1,20.8666666666667
"18/1/2016",0.233333333333333,20.7666666666667
"18/1/2017",0.65,21.85
"18/10/2015",4.03333333333333,22.8
"18/10/2016",11.1333333333333,23.3
"18/10/2017",0.733333333333333,23.0666666666667
"18/11/2015",0,23.6666666666667
"18/11/2016",2.85,21.6666666666667
"18/11/2017",0,19.3
"18/12/2015",1.8,15.1
"18/12/2016",0,22
"18/12/2017",0.4,21.0333333333333
"18/2/2015",0,20.1333333333333
"18/2/2016",0.233333333333333,22.9666666666667
"18/2/2017",0,23.7
"18/3/2015",0,22.2
"18/3/2016",0,25.65
"18/3/2017",2.9,18.65
"18/4/2015",3.16666666666667,25.2333333333333
"18/4/2016",0,26.2333333333333
"18/4/2017",1.9,24.8
"18/5/2015",1.16666666666667,24.6666666666667
"18/5/2016",3.73333333333333,26.8333333333333
"18/5/2017",4.53333333333333,24.7666666666667
"18/6/2015",0,24.1
"18/6/2016",5.46666666666667,23.3
"18/6/2017",4.6,22.5333333333333
"18/7/2015",2.53333333333333,24.4333333333333
"18/7/2016",2.56666666666667,24.6666666666667
"18/7/2017",7.26666666666667,23.5666666666667
"18/8/2015",0.666666666666667,24.9
"18/8/2016",6.3,24.0666666666667
"18/8/2017",0.2,23.5333333333333
"18/9/2015",10.1666666666667,24
"18/9/2016",6.26666666666667,23.9666666666667
"18/9/2017",33.5666666666667,23.3333333333333
"19/1/2015",1,19.7333333333333
"19/1/2016",0.133333333333333,18.3
"19/1/2017",0,21.3333333333333
"19/10/2015",9.2,23
"19/10/2016",15.4,22.3
"19/10/2017",0.15,22.8333333333333
"19/11/2015",0.833333333333333,23.4
"19/11/2016",0.45,20.8
"19/11/2017",0,19.1333333333333
"19/12/2015",1.65,14.9666666666667
"19/12/2016",0.0666666666666667,23.3333333333333
"19/12/2017",1.16666666666667,20.2
"19/2/2015",3.13333333333333,19
"19/2/2016",0.133333333333333,23.1666666666667
"19/2/2017",0,23.6666666666667
"19/3/2015",0,22.5
"19/3/2016",0,25.5
"19/3/2017",0.2,20.2666666666667
"19/4/2015",0,26.4666666666667
"19/4/2016",0,25.9
"19/4/2017",7.8,24.8666666666667
"19/5/2015",3.33333333333333,24.4333333333333
"19/5/2016",2.2,26.1666666666667
"19/5/2017",38.25,25.4333333333333
"19/6/2015",0,24.2666666666667
"19/6/2016",0.533333333333333,24.0666666666667
"19/6/2017",2.03333333333333,22.4333333333333
"19/7/2015",7.73333333333333,24.2333333333333
"19/7/2016",8.86666666666667,22.8666666666667
"19/7/2017",0.666666666666667,23.9666666666667
"19/8/2015",0,24.5666666666667
"19/8/2016",0,24.6
"19/8/2017",0,23.5666666666667
"19/9/2015",24.6333333333333,23.4666666666667
"19/9/2016",1.65,23.8333333333333
"19/9/2017",17.2333333333333,23.5666666666667
"2/1/2015",0.166666666666667,21.6666666666667
"2/1/2016",0,23.1
"2/1/2017",0,22
"2/10/2015",19.2333333333333,24.1
"2/10/2016",2.06666666666667,23.1666666666667
"2/10/2017",2.06666666666667,23.2666666666667
"2/11/2015",3.23333333333333,24.4666666666667
"2/11/2016",2.86666666666667,22.8333333333333
"2/11/2017",0,22.8666666666667
"2/12/2015",0.1,15.0333333333333
"2/12/2016",0,23.2666666666667
"2/12/2017",3,19.05
"2/2/2015",0,22.1
"2/2/2016",0,22.4333333333333
"2/2/2017",0,22.2333333333333
"2/3/2015",0,23.9
"2/3/2016",0,22.75
"2/3/2017",0,23.7
"2/4/2015",2.06666666666667,24.9666666666667
"2/4/2016",0,25.8666666666667
"2/4/2017",0,25.1333333333333
"2/5/2015",4.66666666666667,23.9666666666667
"2/5/2016",8.85,26.4333333333333
"2/5/2017",1.66666666666667,25.4
"2/6/2015",1.1,25.6666666666667
"2/6/2016",22.8666666666667,24.8333333333333
"2/6/2017",3,24.2666666666667
"2/7/2015",0.0333333333333333,24.4333333333333
"2/7/2016",0.433333333333333,24.7
"2/7/2017",7.16666666666667,22.3
"2/8/2015",9.43333333333333,24.7333333333333
"2/8/2016",0.433333333333333,23.8
"2/8/2017",4.33333333333333,23.4666666666667
"2/9/2015",6.6,24.4666666666667
"2/9/2016",8.53333333333333,24.5333333333333
"2/9/2017",4.83333333333333,24.0333333333333
"20/1/2015",0,21.35
"20/1/2016",0.1,20
"20/1/2017",0,22.2
"20/10/2015",0.266666666666667,24.4
"20/10/2016",4.06666666666667,22.5666666666667
"20/10/2017",7.13333333333333,23.2
"20/11/2015",6.66666666666667,23.3333333333333
"20/11/2016",1.1,19.6666666666667
"20/11/2017",0.5,19.4
"20/12/2015",0.3,16.4666666666667
"20/12/2016",1.95,22.1333333333333
"20/12/2017",0,20.5
"20/2/2015",2.2,18.35
"20/2/2016",0.4,21.5
"20/2/2017",0,22.1
"20/3/2015",0.4,22.9
"20/3/2016",0,23.75
"20/3/2017",0.133333333333333,20.5
"20/4/2015",0,26.9333333333333
"20/4/2016",0,25.1
"20/4/2017",14.1333333333333,23.9
"20/5/2015",3.26666666666667,25.2
"20/5/2016",9.65,26.1666666666667
"20/5/2017",5.43333333333333,24.6
"20/6/2015",0.1,24.7666666666667
"20/6/2016",0.133333333333333,24.2333333333333
"20/6/2017",39.9666666666667,22.4333333333333
"20/7/2015",1.86666666666667,23.9
"20/7/2016",8.3,23.1333333333333
"20/7/2017",3.5,24.1
"20/8/2015",7.73333333333333,24.5
"20/8/2016",0,25.7666666666667
"20/8/2017",1.56666666666667,23.8
"20/9/2015",0.8,24.1
"20/9/2016",1.7,24.0333333333333
"20/9/2017",0.833333333333333,23.8333333333333
"21/1/2015",0,21.9333333333333
"21/1/2016",0,22.0333333333333
"21/1/2017",0,20.4
"21/10/2015",16.9333333333333,21.0666666666667
"21/10/2016",2.56666666666667,21.4666666666667
"21/10/2017",0.433333333333333,23.5666666666667
"21/11/2015",19.0666666666667,22.8
"21/11/2016",2.4,19.5666666666667
"21/11/2017",0,20.7
"21/12/2015",0,15.8
"21/12/2016",3.6,21
"21/12/2017",0,21.2
"21/2/2015",0,22.2333333333333
"21/2/2016",0.333333333333333,21.8
"21/2/2017",0,23
"21/3/2015",0,23.3
"21/3/2016",3.8,21.9
"21/3/2017",0,20.3333333333333
"21/4/2015",0,26.2333333333333
"21/4/2016",0,22.0666666666667
"21/4/2017",0.0333333333333333,23.9
"21/5/2015",1.4,24.2666666666667
"21/5/2016",0.666666666666667,25.7
"21/5/2017",9.4,20.9666666666667
"21/6/2015",0,24.1666666666667
"21/6/2016",0.233333333333333,23.6333333333333
"21/6/2017",17.6666666666667,22.7333333333333
"21/7/2015",1.33333333333333,23.7333333333333
"21/7/2016",0,24.1666666666667
"21/7/2017",2.06666666666667,22.7333333333333
"21/8/2015",9.96666666666667,23.7666666666667
"21/8/2016",0.1,23.5333333333333
"21/8/2017",10.1666666666667,23.0666666666667
"21/9/2015",20.8333333333333,20.8666666666667
"21/9/2016",9.15,23.9666666666667
"21/9/2017",18.9,23.4
"22/1/2015",0,21.1666666666667
"22/1/2016",0,20.7333333333333
"22/1/2017",0,21.7
"22/10/2015",3.4,23.9666666666667
"22/10/2016",0.0666666666666667,22.5333333333333
"22/10/2017",8.03333333333333,23.2
"22/11/2015",14,23.0666666666667
"22/11/2016",1.36666666666667,20.0333333333333
"22/11/2017",2.43333333333333,20.5333333333333
"22/12/2015",0,15.9666666666667
"22/12/2016",5.4,19.5
"22/12/2017",0,21.4666666666667
"22/2/2015",0,23.1333333333333
"22/2/2016",0,23.8666666666667
"22/2/2017",0.266666666666667,20.4333333333333
"22/3/2015",0.333333333333333,24.2666666666667
"22/3/2016",1.7,20.25
"22/3/2017",0,20.2666666666667
"22/4/2015",0,26.0666666666667
"22/4/2016",0,25.2333333333333
"22/4/2017",1,23.1333333333333
"22/5/2015",1.76666666666667,22.1333333333333
"22/5/2016",0,26.1666666666667
"22/5/2017",3.1,22.9666666666667
"22/6/2015",0,24.0666666666667
"22/6/2016",6.55,23.2666666666667
"22/6/2017",5.63333333333333,23.9666666666667
"22/7/2015",0,24.3666666666667
"22/7/2016",0,24.5666666666667
"22/7/2017",0,23.6
"22/8/2015",0,24.4333333333333
"22/8/2016",16,20.4333333333333
"22/8/2017",0.333333333333333,23.9
"22/9/2015",7.9,23.2666666666667
"22/9/2016",8.46666666666667,23.2666666666667
"22/9/2017",19.7,23.5
"23/1/2015",0,21.4666666666667
"23/1/2016",1.73333333333333,16.9
"23/1/2017",0,20.7666666666667
"23/10/2015",0,23.7333333333333
"23/10/2016",0,21.6333333333333
"23/10/2017",0.733333333333333,23.1333333333333
"23/11/2015",0.05,22.2
"23/11/2016",0,19.6666666666667
"23/11/2017",0.833333333333333,19.3333333333333
"23/12/2015",0,15.8666666666667
"23/12/2016",4.1,20.3
"23/12/2017",0,21.2
"23/2/2015",0.8,23.4333333333333
"23/2/2016",0,23.9
"23/2/2017",0,21.8666666666667
"23/3/2015",0,24.2
"23/3/2016",0.35,22.8
"23/3/2017",0,20.3666666666667
"23/4/2015",0.633333333333333,27.0333333333333
"23/4/2016",0,21.8333333333333
"23/4/2017",1.63333333333333,22.7333333333333
"23/5/2015",0,21.7333333333333
"23/5/2016",3.2,25.9
"23/5/2017",1.33333333333333,24.7
"23/6/2015",0,23.9333333333333
"23/6/2016",3.7,23.6666666666667
"23/6/2017",0.533333333333333,23.6666666666667
"23/7/2015",0.433333333333333,24.7666666666667
"23/7/2016",11.65,24.0333333333333
"23/7/2017",2.06666666666667,20.9666666666667
"23/8/2015",0,24.5333333333333
"23/8/2016",0.333333333333333,23.1666666666667
"23/8/2017",3.43333333333333,24.2
"23/9/2015",12.95,20.3666666666667
"23/9/2016",20.6333333333333,22.4666666666667
"23/9/2017",15.5666666666667,23.2333333333333
"24/1/2015",0.1,20.6666666666667
"24/1/2016",0,15.9333333333333
"24/1/2017",0,19.6333333333333
"24/10/2015",0,24.5
"24/10/2016",0.366666666666667,21.5
"24/10/2017",25.3666666666667,22.0666666666667
"24/11/2015",0,22.6666666666667
"24/11/2016",1.76666666666667,20.9333333333333
"24/11/2017",0.0666666666666667,19.0666666666667
"24/12/2015",0,16.0333333333333
"24/12/2016",0.2,21.2
"24/12/2017",0.0333333333333333,21.1
"24/2/2015",0.0666666666666667,23.2333333333333
"24/2/2016",0,23.8
"24/2/2017",0,22.6666666666667
"24/3/2015",0,23.5
